,Tank:,Name:,Score:,Proof:,Gamemode,Special? (TBR)
,Banshee,Mr.Hacker YT,5006725,https://cdn.discordapp.com/attachments/1146049737494114356/1147120038575341650/screenshot_-_2023-09-01T033850.724.png,2TDM,TBR
,Necromancer,Darky,5003057,https://cdn.discordapp.com/attachments/1116894106438881380/1134877161858285568/screenshot_23.png,2TDM,TBR
,Penta Shot,Marcus,5002008,https://cdn.discordapp.com/attachments/1146204878331461642/1147125542169092167/screenshot_-_2023-09-01T130523.564.png,2TDM,TBR
,Gunner Trapper,🌷|retnuH,5001535,https://cdn.discordapp.com/attachments/866023322529955870/1130107914862993448/screenshot_-_2023-07-16T150012.395.png,2TDM,TBR
,Auto Builder,Marcus,5000100,https://cdn.discordapp.com/attachments/1095472648886165704/1146121263857795103/screenshot_-_2023-08-29T183408.613.png,2TDM,TBR
,Carrier,Hertz,5000098,https://cdn.discordapp.com/attachments/559793341143711767/1125608567681056779/screenshot_-_2023-07-04T030243.480.png,2TDM,TBR
,Machine Gunner,bum,4743388,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/d8On9Nu,4TDM,TBR
,Carrier,Slade,4158335,https://imgur.com/gallery/KbDu50t,2TDM,TBR
,Spreadshot,Mr.Hacker YT,4055861,https://cdn.discordapp.com/attachments/1064026177108443180/1134452600989818890/screenshot_-_2023-07-27T214509.137.png,4TDM,TBR
,Infestor,Mr.Hacker YT,4023991,https://media.discordapp.net/attachments/1064026177108443180/1137836284551901204/screenshot_-_2023-08-06T125134.542.png?width=810&height=456,4TDM,TBR
,Dual,Corrupt Y,4010489,https://cdn.discordapp.com/attachments/928174021592383489/1145830242095747092/image.png,4TDM,TBR
,Trap Guard,🌷|retnuH,4006112,https://cdn.discordapp.com/attachments/1062306642898735186/1138821486153572445/screenshot_-_2023-06-06T200003.142.png,4TDM,TBR
,Builder,Hertz,4001516,https://imgur.com/a/RDZaMVi,2TDM,TBR
,Crossbow,Marcus,3761880,https://cdn.discordapp.com/attachments/1113513104467304488/1133460005262200954/screenshot_-_2023-07-25T195042.424.png,4TDM,TBR
,Trap Guard,Chris3773,3381074,https://cdn.discordapp.com/attachments/866023322529955870/1138910518669758584/screenshot_-_2023-08-09T150001.272.png,2TDM,TBR
,Stalker,Hertz,3248446,https://imgur.com/a/pYmX3hN,2TDM,TBR
,Cyclone,Slade,3207125,https://cdn.discordapp.com/attachments/928174021592383489/1145067814412107979/LErIM17.png,4TDM,TBR
,Engineer,Chris3773,3172053,https://cdn.discordapp.com/attachments/1139282331602002081/1139351158452924436/screenshot_-_2023-07-20T185635.png,4TDM,TBR
,Machine Gunner,Nyrox,2830265,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/boFjYiE,Duos,TBR
,Vulture,Chris3773,2062496,https://cdn.discordapp.com/attachments/1139282331602002081/1139348880174092418/screenshot_-_2023-07-01T162549.png,2TDM,TBR
,Field Gun,Hertz,1507766,https://cdn.discordapp.com/attachments/1145152054260662414/1145663054391017602/screenshot_-_2023-08-28T105234.131.png,Maze,TBR
,Assembler,chewy pies,1447904,https://i.imgur.com/ThvSoUsh.jpg,2TDM,TBR
,Annihilator,Marcus,6666666,https://cdn.discordapp.com/attachments/1095472648886165704/1148254638383054909/screenshot_-_2023-09-04T155327.278.png,4TDM,TBR
,Bushwhacker,ExC,4524903,https://cdn.discordapp.com/attachments/1060695995270303945/1148065813006397531/Screenshot_2205.png,2TDM,TBR
,Hexa Trapper,ExC,4522016,https://cdn.discordapp.com/attachments/1060695995270303945/1148094228178677821/Screenshot_2213.png,Maze 2TDM,TBR
,Predator,ExC,10000104,https://cdn.discordapp.com/attachments/928174021592383489/1148470403216462004/image.png,2TDM,TBR
,Hunter,Templar,7775630,https://cdn.discordapp.com/attachments/1136619020100059146/1149384164508962947/screenshot_22.png,4TDM,TBR
,Conqueror,Chris3773,3000156,https://imgur.com/gallery/UcG4uGK,2TDM,TBR
