Basic,Director,Flank Guard,Machine Gun,Pounder,Sniper,Trapper,Twin,Artillery,Assassin,Auto-3,Builder,Cruiser,Destroyer,Double Twin,Gunner,Hexa Tank,Hunter,Launcher,Minigun,Overseer,Rifle,Smasher,Spawner,Sprayer,Trap Guard,Tri-Angle,Triple Shot,Tri-Trapper,Underseer,Annihilator,Architect,Armsman,Assembler,Atomizer,Auto-4,Auto-5,Auto Assassin,Auto Builder,Auto Cruiser,Auto Double,Auto Gunner,Auto Overseer,Auto Smasher,Auto Spawner,Auto Tri-Angle,Banshee,Barricade,Battleship,Beekeeper,Bent Double,Bent Hybrid,Big Cheese,Bomber,Boomer,Booster,Bulwark,Bushwhacker,Carrier,Commander,Conqueror,Constructor,Crop Duster,Crossbow,Cyclone,Dual,Eagle,Engineer,Factory,Falcon,Field Gun,Fighter,Focal,Fortress,Gunner Trapper,Hewn Double,Hexa Trapper,Infestor,Hybrid,Landmine,Machine Gunner,Maleficitor,Manager,Mega Smasher,Mega-3,Mortar,Musket,Nailgun,Necromancer,Octo Tank,Ordnance,Overdrive,Overgunner,Overlord,Overtrapper,Penta Shot,Pheonix,Poacher,Predator,Ranger,Redistributor,Rocketeer,Septa Trapper,Shotgun,Sidewinder,Single,Skimmer,Spike,Spreadshot,Stalker,Streamliner,Surfer,Swarmer,Triple Twin,Triplet,Twister,Vulture,X-Hunter
8182540,Slade,https://cdn.discordapp.com/attachments/928174021592383489/1127068247846563860/screenshot_-_2022-10-19T210321.png,Fortress,,6023075,Para,https://cdn.discordapp.com/attachments/866023322529955870/988279828681723904/unknown.png,Auto Double,,7055567,Smiley,https://imgur.com/a/IEY9Uk3,Smasher,,6307262,Thx m8,https://imgur.com/a/gA8MviK,Smasher,,4079006,ExC,https://imgur.com/a/UVJmXTe,Rocketeer,,5995452,Colon,https://imgur.com/a/ReKmkEM,Fighter,Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8151530,Jess,https://imgur.com/a/1scHNcj,Auto Double,,5847826,Allan,https://imgur.com/a/HsucXJv,Predator,,6530341,Allan,https://imgur.com/a/fBwMqFC,Commander,,6001350,rela 🐣,https://imgur.com/gallery/0erVnX0,Overdrive,,3252800,Mine,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/z03M6X3,Sprayer,,5683540,ια,https://cdn.discordapp.com/attachments/866023322529955870/1099848790015475814/screenshot_-_2023-04-23T170009.png,Auto Smasher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7625281,Jess,https://imgur.com/a/SzBDnyh,Gunner Trapper,,5752590,Roman,https://imgur.com/a/HB54PUa,Manager,,6260000,Smiley,https://www.youtube.com/watch?v=jcVvMD0tIFk,Annihilator,,5979885,Rog456,https://imgur.com/a/ccRh01y,Mega Smasher,Legacy,2999324,Chaos,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/jj1sAQi,Builder,,5595848,Skrialik,https://imgur.com/a/hbosxz1,Swarmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7258999,Quad,https://imgur.com/a/V5ReyDx,Bulwark,,5387149,Slade,https://cdn.discordapp.com/attachments/559793341143711767/1118664416179802273/missing_evidence2.png,Streamliner,,5802534,Hellitica,https://imgur.com/a/Eqptz9w,Streamliner,,5638192,Corrupt X,https://www.youtube.com/watch?v=RVB-tWpv0Ro,Mortar,Legacy,2906256,Mine,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/9V5Ab3b,Auto Builder,,5302524,Quad,https://imgur.com/a/pgtBKXX,Overlord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6999083,rela 🐣,https://imgur.com/gallery/g7L8W8l,Flank Guard,,5359741,Allan,https://imgur.com/a/Gu091ns,Overdrive,,5761622,Skrialik,https://imgur.com/a/TFitCep,Overseer,,5105669,<❂> ₭ǿrɇa,https://imgur.com/gallery/boXiZCr,Builder,,2807782,rela 🐣,https://imgur.com/gallery/y5GCJMc,Auto Tri-Angle,Legacy,5254626,Mr.Hacker YT,https://cdn.discordapp.com/attachments/981241581044637696/1116094851960799296/screenshot_-_2023-01-17T204838.095.png,Stalker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6901999,Slade,https://cdn.discordapp.com/attachments/559793341143711767/1118664416179802273/missing_evidence2.png,Hexa Tank,,5247505,Chaos,https://imgur.com/a/PUe3YPW,Destroyer,,5481322,Anto,https://imgur.com/a/MamNhGa,Hybrid,,5082304,Ö.,https://imgur.com/a/SYGOKNV,Overtrapper,,2802576,WL9,https://imgur.com/gallery/JLMeZrs,Hybrid,,5249935,jugg,https://imgur.com/gallery/gVmGx97,Battleship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6582927,Roman,https://imgur.com/a/n02zxZh,Overlord,,5104307,Slade,https://cdn.discordapp.com/attachments/559793341143711767/1118664416179802273/missing_evidence2.png,Triplet,,5455578,Athu,https://cdn.discordapp.com/attachments/1089763071788072980/1111650170166317167/screenshot_-_2023-05-26T190739.740.png,Factory,,5073405,Thing,https://imgur.com/a/XJy80bJ,Hybrid,,3531288,<❂> ₭ǿrɇa,https://imgur.com/gallery/GyD7MTo,Builder,,5149655,Slade,https://cdn.discordapp.com/attachments/1044121536656850967/1044681468565258381/unknown.png,Streamliner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6468494,Para,https://media.discordapp.net/attachments/889688731668336640/1009630931641966602/screenshot_-_2022-08-17T143123.517.png?width=1521&height=855,Streamliner,,5083845,ια,https://imgur.com/gallery/6S2dTda,Armsman,,5323051,Mine,https://imgur.com/a/eGL3oVk,Mega Smasher,,4323791,rela 🐣,https://imgur.com/gallery/bLq20M7,Hexa Tank,,3521009,Mine,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/KakASlQ,Predator,legacy,5094405,132,https://imgur.com/a/luva5uJ,Architect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6412305,noscore,https://cdn.discordapp.com/attachments/866023322529955870/1115628614424207461/screenshot_-_2023-06-06T115534.606.png,Auto Spawner,,5054356,noscore,https://imgur.com/gallery/BU63NCs,Ordnance,Legacy,10147081,Slade,https://cdn.discordapp.com/attachments/950121196870062131/1141229822366994534/screenshot_-_2023-08-15T231358.256.png,Auto Spawner,TBR,4307705,Slade,https://i.imgur.com/pt4L6g6.png,Spawner,,3363251,rela 🐣,https://imgur.com/gallery/wJApgrK,Bent Double,,5049815,Athu,https://cdn.discordapp.com/attachments/731498658276835398/895963033657024522/screenshot_-_2021-10-08T143840.563.png,Skimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6157892,pedal,https://imgur.com/a/lf5rE4J,Surfer,Legacy,4755164,ια,https://imgur.com/gallery/FsIxPU4,Hexa Tank,,5039129,Ussnub,https://cdn.discordapp.com/attachments/1125564247275999282/1128839986700103800/5.03_mil_0_bs.png,Annihilator,,4093541,Mine,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/lvSr9Qn,Mega Smasher,,3351808,Crown the Ö.,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/898csJ0,Mega Smasher,legacy,5043850,Ussnub,https://cdn.discordapp.com/attachments/1125564247275999282/1125970790853120030/5.04_mil.png,Predator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5836425,rela 🐣,https://media.discordapp.net/attachments/725995383800594488/845603400895823882/unknown.png,Auto Spawner,,4687665,Slade,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://i.imgur.com/73BKeU5.png,Commander,,4755069,🎋,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/cwl1Oml,Destroyer,,3795821,Mine,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/CTWxXsr,Big Cheese,,3310854,[LK],https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/bSM23x5,Destroyer,,5019942,Jess,https://cdn.discordapp.com/attachments/856614995802325032/1090761128621121586/image.png,Auto Tri-Angle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5813629,<❂> ₭ǿrɇa,https://imgur.com/gallery/5auaT4L,Triple Shot,,4646009,Ray,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/vMcPtSn,Sprayer,,4510209,Mine,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/AI4ijwq,Tri-Angle,,3358024,ay96,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/npnmO42,Redistributor,,3245785,poui,https://media.discordapp.net/attachments/799981364157612043/870584415540113468/unknown.png,Ordnance,legacy,5006808,Quad,https://imgur.com/a/mvoTIvj,Ranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5787446,Skrialik,https://imgur.com/a/lmVyHqu,Fighter,,4585062,Thing,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/ZaMqGGy,Bent Hybrid,,4707251,jax,https://media.discordapp.net/attachments/1130195688093913188/1142538254369947778/IB8yKu6.png?width=810&height=455,Spawner,,3295955,YT-TY,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/sOAVgEx,Shotgun,,3221609,Mine,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/YiInr2e,Ordnance,legacy,4784402,For Kenza 🌹,https://imgur.com/a/IId9zjj,Rocketeer,Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5764475,Roman,https://imgur.com/a/bvpYU47,Triplet,,4558669,🥕Crazy Carrot🥕,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/sJf5sy7,Auto Builder,,7272710,Templar,https://cdn.discordapp.com/attachments/866023322529955870/1139202565146411038/image.png,Auto Overseer,,3269205,Jugg,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/RrxH7x0,Mega-3,,3129545,Mine,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/x7tyczD,Commander,,4647392,jugg,https://imgur.com/gallery/fra2Rsc,Mega-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5679479,132,https://cdn.discordapp.com/attachments/559793341143711767/1114337259790008361/screenshot_25.png,Architect,,4472360,ExC,https://cdn.discordapp.com/attachments/1070857541602508812/1114356530817548300/screenshot_32.png,Crop Duster,,5035192,Marcus,https://media.discordapp.net/attachments/1095472648886165704/1139223933409820723/screenshot_-_2023-08-10T174858.552.png?width=810&height=456,Hexa Tank,TBR,3230686,Armin,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/XmEwFRG,Launcher,,3023443,Mine,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/rlxfvwB,Crossbow,,4591537,132,https://cdn.discordapp.com/attachments/803352420117774377/838876306359713852/screenshot_28.png,Gunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5610574,rela 🐣,https://imgur.com/gallery/vmtO4ha,Twin,,4356803,Slade,https://imgur.com/gallery/Awu12uK,Poacher,,6032980,🌷|retnuH,https://media.discordapp.net/attachments/1139190161482207273/1139190335482896384/screenshot_-_2023-08-10T162832.229.png?width=810&height=455,Destroyer,,3823577,Slade,https://cdn.discordapp.com/attachments/928174021592383489/1143927378985353316/5r9pUBJ.png,Auto Spawner,,3006067,jax,https://imgur.com/a/0L5JI1T,Factory,,4370542,Corrupt X,https://road6943.github.io/Arras-Wra-Imgur-Backups/?cloudName=road6943&imgurLink=https://imgur.com/a/K69oDFz,Bulwark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1401694,long vn :D,https://i.imgur.com/ZB711LJh.jpg,X-Hunter,?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
