Basic,Director,Flank Guard,Machine Gun,Pounder,Sniper,Trapper,Twin,Artillery,Assassin,Auto-3,Builder,Cruiser,Destroyer,Double Twin,Gunner,Hexa Tank,Hunter,Launcher,Minigun,Overseer,Rifle,Smasher,Spawner,Sprayer,Trap Guard,Tri-Angle,Triple Shot,Tri-Trapper,Underseer,Annihilator,Architect,Armsman,Assembler,Atomizer,Auto-4,Auto-5,Auto Assassin,Auto Builder,Auto Cruiser,Auto Double,Auto Gunner,Auto Overseer,Auto Smasher,Auto Spawner,Auto Tri-Angle,Banshee,Barricade,Battleship,Beekeeper,Bent Double,Bent Hybrid,Big Cheese,Bomber,Boomer,Booster,Bulwark,Bushwhacker,Carrier,Commander,Conqueror,Constructor,Crop Duster,Crossbow,Cyclone,Dual,Eagle,Engineer,Factory,Falcon,Field Gun,Fighter,Focal,Fortress,Gunner Trapper,Hewn Double,Hexa Trapper,Infestor,Hybrid,Landmine,Machine Gunner,Maleficitor,Manager,Mega Smasher,Mega-3,Mortar,Musket,Nailgun,Necromancer,Octo Tank,Ordnance,Overdrive,Overgunner,Overlord,Overtrapper,Penta Shot,Pheonix,Poacher,Predator,Ranger,Redistributor,Rocketeer,Septa Trapper,Shotgun,Sidewinder,Single,Skimmer,Spike,Spreadshot,Stalker,Streamliner,Surfer,Swarmer,Triple Twin,Triplet,Twister,Vulture,X-Hunter
Slade,AstRatJP,bum,WL9,Psychlow,Denied,,ZeZo,,Eternity,ExC,<❂> ₭ǿrɇa,Jess,noscore,8,bum,Thing,Denied,Mine,ay96,Skrialik,Absol,asd,Slade,Vangu,Nyrox,Quad,Jess,,Corrupt Y,Hydra,Thing,Mine,alettera,ThunderFlame,Jackson,,Chris3773,Quad,X...,Zeph,Ö.,Despair,,cyan,noscore,bum,,,YT=GLITCHER TM,Roman,Quad,noscore,bum,Askatasuna,rela 🐣,,Denied,Colon,cute sus,Corrupt Y,Giggity,safuez,Aero,Chat Noir,Crazoodles,Thing,☠ʟᴀɢ мᴀsтᴇʀ☠,Corrupt Y,Jess,ThunderFlame,Quad,Moshrav,Skrialik,pedal,Vangu,8,🎋,Crazoodles,Stradpult,Nguyen,duc,duc,Mine,Skrialik,Jazz,,jax,Roman,Quad,,Mythical,Skrialik,Jess,Dardø 寝る,Slade,Neptuun,,Askatasuna,bob,YT=GLITCHER TM,,Slade,Oganesson 118,,Jess,,asd,Marcus,Hertz,Para,pedal,pool noodle,xd,Quad,Marcus,,long vn :D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PST10TCnHMTGML,,means,"Player Stats, Top 10 Tanks Calculations & Hand Made Top Game Modes Lists",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand made top gamemodes lists:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top 20 SQUADS,,,,,top 20 DUOS,,,,,top 20 MAZE 2TDM,,,,,top 20 MAZE 4TDM,,,,,top 20 OPEN MAZE TDM,,,,,top 20 OPEN TDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12345678,Skrialik,https://imgur.com/a/7b0FnkI,Predator,Legacy,8007042,Quad,https://imgur.com/gmbUiUr,Machine Gun,,10065712,Ö.,https://imgur.com/a/ndpbcEb,Overtrapper,,11720549,Slade,https://cdn.discordapp.com/attachments/1093983574065156216/1106673054903451658/screenshot_-_2021-05-14T152049.png,Streamliner,,6836778,Mine,https://imgur.com/a/roNCtVR,Streamliner,,11147953,Skrialik,https://imgur.com/a/8trHyPr,Overlord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11626716,Anak,https://imgur.com/gallery/j18MkES,Battleship,,7203440,Quad,https://imgur.com/a/izc5CcM,Bent Hybrid,,7861288,Marcus,https://cdn.discordapp.com/attachments/1104777239725346876/1113552873536622713/screenshot_-_2023-05-31T194719.246.png,Annihilator,,7704078,ExC,https://imgur.com/a/0ojm0vn,Hybrid,,6217536,Ussnub,https://cdn.discordapp.com/attachments/1125564247275999282/1125876611602985062/6.21_mil.png,Bent Double,,9101585,ExC,https://imgur.com/a/gMCl59z,Surfer,Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10814596,Slade,https://cdn.discordapp.com/attachments/866023322529955870/1042980358037180416/unknown.png,Overgunner,,6139047,Athu,https://imgur.com/a/FlZca6E,Auto Assassin,,7726758,Chris3773,https://cdn.discordapp.com/attachments/559793341143711767/1116505608443666502/screenshot_-_2023-06-08T183631.png,Auto Assassin,,7130528,safuez,https://cdn.discordapp.com/attachments/941221820810543155/941338879687000064/8tzTqyr_d.png,Factory,TBR,5069397,Mythical,https://media.discordapp.net/attachments/847194037353316402/847194206698602566/Screenshot_2021-05-26_15.07.40.png?,Annihilator,,7386144,rela 🐣,https://imgur.com/gallery/NBxOvsQ,Overdrive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10530060,Slade,https://imgur.com/DIQXtmQ,Streamliner,,6056772,Nyrox,https://imgur.com/a/nHPqKDV,Bent Double,,7489909,byekc,https://cdn.discordapp.com/attachments/920837868543438878/951964758423273482/unknown_2021.png,Rocketeer,,6601572,Ö.,https://imgur.com/a/JWeDlf1,Annihilator,,4541090,jax,https://imgur.com/a/FnOpsI9,Factory,,6066987,ια,https://imgur.com/gallery/LPqFBUd,Auto Overseer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
