,Tank,Name,Score,Proof,Gamemode,Info,Build,,,,,,,,,,Date of Death,Server
,TOP 250 Scores,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Auto Assassin,Salla,7788766,https://cdn.discordapp.com/attachments/866023322529955870/1096926557408342136/screenshot_39.png,4TDM,,,,,,,,,,,,,
,Hexa Tank,Mr.Hacker YT,7760751,https://media.discordapp.net/attachments/1136619020100059146/1143468207735312444/screenshot_-_2023-08-22T015041.215.png?width=810&height=456,Maze,,,,,,,,,,,,,
,Auto Assassin,Mr.Hacker YT,7741098,https://cdn.discordapp.com/attachments/981241581044637696/1116094851646230671/screenshot_-_2023-01-06T174702.473.png,4TDM,,,,,,,,,,,,,
,Auto Assassin,Chris3773,7726758,https://cdn.discordapp.com/attachments/559793341143711767/1116505608443666502/screenshot_-_2023-06-08T183631.png,Maze 2TDM,,,,,,,,,,,,,
,Hybrid,ExC,7704078,https://imgur.com/a/0ojm0vn,Maze 4TDM,,,,,,,,,,,,,
,Landmine,noscore,7684917,https://cdn.discordapp.com/attachments/866023322529955870/1064812862138220574/screenshot_31.png,4TDM,,,,,,,,,,,,,
,Overlord,Harry,7670200,https://i.imgur.com/Zu0imcQh.jpg,Portal TDM,,,,,,,,,,,,,
,Hunter,Templar,7651107,https://cdn.discordapp.com/attachments/1063098062819577927/1143892293988917351/image.png,2TDM,,,,,,,,,,,,,
,Gunner Trapper,Jess,7625281,https://imgur.com/a/SzBDnyh,Squads,,,,,,,,,,,,,
,Auto Spawner,ια,7586478,https://cdn.discordapp.com/attachments/928174021592383489/1133836903058247750/screenshot_-_2023-07-25T214346.747.png,2TDM,,,,,,,,,,,,,
,Overseer,Smiley,7583001,https://imgur.com/a/y3G1z7g,2TDM,,,,,,,,,,,,,
,Spike,Smiley,7526608,https://imgur.com/a/VnYtt5S,4TDM,,,,,,,,,,,,,
,Gunner Trapper,🌷|retnuH,7523323,https://imgur.com/gallery/UUrVgm8,2TDM,,,,,,,,,,,,,
,Predator,zo,7497088,https://imgur.com/a/VdqzY9c,2TDM,,,,,,,,,,,,,
,Smasher,Jess,7494683,https://cdn.discordapp.com/attachments/866023322529955870/1127024494037438594/screenshot49.png,4TDM,,,,,,,,,,,,,
,Rocketeer,byekc,7489909,https://cdn.discordapp.com/attachments/920837868543438878/951964758423273482/unknown_2021.png,Maze 2TDM,,,,,,,,,,,,,
,Crossbow,Allan,7484728,https://imgur.com/a/VmbiiPb,2TDM,,,,,,,,,,,,,
,Overlord,Jess,7475910,https://cdn.discordapp.com/attachments/856614995802325032/1086420393402847312/screenshot_-_2023-03-17T183840.081.png,2TDM,,,,,,,,,,,,,
,Auto Assassin,ascending,7462122,https://imgur.com/a/tTrCUcB,2TDM,,,,,,,,,,,,,
,Triplet,Roman,7461189,https://imgur.com/a/Fd94BBt,4TDM,,,,,,,,,,,,,
,Landmine,asd,7447385,https://imgur.com/gallery/F5FT8Dm,4TDM,,,,,,,,,,,,,
,Single,Chris3773,7443093,https://cdn.discordapp.com/attachments/928174021592383489/1130607330841595935/screenshot_-_2023-07-17T170803.348.png,2TDM,,,,,,,,,,,,,
,Fighter,Stradpult,7407179,https://media.discordapp.net/attachments/454578417745133580/579267259894333440/unknown.png,FFA,Legacy,,,,,,,,,,,,
,Surfer,Stradpult,7403118,https://imgur.com/gallery/NPw1Hfj,FFA,Legacy,,,,,,,,,,,,
,Gunner Trapper,Ö.,7399397,https://imgur.com/a/a3PP6ce,2TDM,,,,,,,,,,,,,
,Spike,asd,7399044,https://imgur.com/gallery/Fb8K4hx,4TDM,,,,,,,,,,,,,
,Bomber,ExC,7386278,https://imgur.com/a/Ckq7LeM,FFA,Legacy,,,,,,,,,,,,
,Overdrive,rela 🐣,7386144,https://imgur.com/gallery/NBxOvsQ,Open TDM,,,,,,,,,,,,,
,Streamliner,Para,7355978,https://imgur.com/gallery/8MLlYep,2TDM,,,,,,,,,,,,,
,Mortar,Damocles,7355346,https://imgur.com/a/p2g4PTm,2TDM,Legacy,,,,,,,,,,,,
,Overlord,z,7350509,https://imgur.com/a/GR8fJpE,4TDM,,,,,,,,,,,,,
,Auto Spawner,ια,7347899,https://www.youtube.com/watch?v=qDHZWdz_a6M,4TDM,,,,,,,,,,,,,
,Overgunner,Colon,7336187,https://imgur.com/a/i7bjjnX,2TDM,,,,,,,,,,,,,
,Smasher,Anto,7328693,https://imgur.com/a/Q2AJHfb,2TDM,,,,,,,,,,,,,
,Banshee,ascending,7323227,https://imgur.com/a/Kyd3JMy,Portal TDM,,,,,,,,,,,,,
,Sniper,Quad,7309124,https://imgur.com/a/L1246Ro,4TDM,,,,,,,,,,,,,
,Auto Overseer,Nyrox,7303346,https://imgur.com/a/8roOPif,2TDM,,,,,,,,,,,,,
,Necromancer,Chris3773,7296766,https://cdn.discordapp.com/attachments/1138529019541868686/1144476145539108864/screenshot_-_2023-08-24T230412.315.png,2TDM,,,,,,,,,,,,,
,Bent Double,ια,7296093,https://imgur.com/gallery/68vV8gq,4TDM,,,,,,,,,,,,,
,Landmine,ια,7277072,https://imgur.com/gallery/73fxyH8,4TDM,,,,,,,,,,,,,
,Fighter,Stradpult,7275547,https://imgur.com/gallery/I3ip2El,FFA,Legacy,,,,,,,,,,,,
,Auto Overseer,Templar,7272710,https://cdn.discordapp.com/attachments/866023322529955870/1139202565146411038/image.png,Maze 2TDM,,,,,,,,,,,,,
,Gunner Trapper,Ö.,7271725,https://imgur.com/a/PsBbWxk,4TDM,,,,,,,,,,,,,
,Auto Builder,X...,7269160,https://imgur.com/a/LonZ3nv,2TDM,,,,,,,,,,,,,
,Manager,Mr.Hacker YT,7264097,https://media.discordapp.net/attachments/1064026177108443180/1143615199006441582/screenshot_-_2023-08-19T221115.565.png?width=1193&height=671,Maze 4TDM,TBR,,,,,,,,,,,,
,Manager,Jess,7259127,https://cdn.discordapp.com/attachments/856614995802325032/1031276060815396985/screenshot_99.png,2TDM,,,,,,,,,,,,,
,Bulwark,Quad,7258999,https://imgur.com/a/V5ReyDx,Squads,,,,,,,,,,,,,
,Overlord,Skrialik,7252148,https://imgur.com/a/zgEeIdk,2TDM,,,,,,,,,,,,,
,Fighter,Skrialik,7246079,https://imgur.com/a/8mnE7oY,4TDM,Legacy,,,,,,,,,,,,
,Necromancer,Marcus,7222569,https://imgur.com/a/7YPiqau,2TDM,,,,,,,,,,,,,
,Auto Tri-Angle,Allan,7219950,https://imgur.com/a/iwBnXB6,2TDM,,,,,,,,,,,,,
,Overlord,Skrialik,7215745,https://cdn.discordapp.com/attachments/928174021592383489/1141524709318606898/screenshot_-_2023-08-09T211331.png,Maze 2TDM,,,,,,,,,,,,,
,Bent Hybrid,Quad,7203440,https://imgur.com/a/izc5CcM,Duos,,,,,,,,,,,,,
,Flank Guard,ZeZo,7191839,https://imgur.com/a/1ezge3c,Portal TDM,,,,,,,,,,,,,
,Overdrive,Mr.Hacker YT,7152618,https://imgur.com/gallery/MTZxZtT,2TDM,,,,,,,,,,,,,
,Octo Tank,Slade,7151032,https://cdn.discordapp.com/attachments/928174021592383489/1141523475358568449/screenshot_-_2023-08-16T174400.578.png,2TDM,,,,,,,,,,,,,
,Auto Assassin,🌷|retnuH,7142853,https://imgur.com/gallery/IouGVsb,2TDM,,,,,,,,,,,,,
,Factory,safuez,7130528,https://cdn.discordapp.com/attachments/941221820810543155/941338879687000064/8tzTqyr_d.png,Maze 4TDM,TBR,,,,,,,,,,,,
,Auto Smasher,asd,7130429,https://imgur.com/gallery/Ip86Nys,2TDM,,,,,,,,,,,,,
,Sniper,Stormy,7124716,https://cdn.discordapp.com/attachments/395646588682240020/1097999543821414400/scrnli_4_18_2023_4-36-09_PM.png,2TDM,,,,,,,,,,,,,
,Auto Smasher,ExC,7118526,https://imgur.com/a/RxNQy8h,4TDM,,,,,,,,,,,,,
,X-Hunter,Rog456,7109184,https://cdn.discordapp.com/attachments/928174021592383489/1144851786033795142/4255A84D-E373-4283-83D2-6191C63A60BA.png,4TDM,TBR,,,,,,,,,,,,
,Necromancer,Roman,7095055,https://imgur.com/a/VtN2eUH,4TDM,,,,,,,,,,,,,
,Basic,Rog456,7092907,https://cdn.discordapp.com/attachments/928174021592383489/1135765816206426143/904D39D7-AC2D-430B-8967-30999F81E9A5.png,2TDM,,,,,,,,,,,,,
,Overgunner,Chris3773,7091375,https://cdn.discordapp.com/attachments/1139282331602002081/1139328885402632283/screenshot_-_2023-08-10T184545.240.png,2TDM,TBR,,,,,,,,,,,,
,Spreadshot,Corrupt Y,7090036,https://cdn.discordapp.com/attachments/866023322529955870/1094021490791420015/image.png,2TDM,,,,,,,,,,,,,
,Auto Overseer,ZeZo,7084337,https://imgur.com/a/B3CMf5c,4TDM,,,,,,,,,,,,,
,Spike,bum,7060288,https://imgur.com/a/SUzNNYd,2TDM,,,,,,,,,,,,,
,Mortar,Mine,7059952,https://imgur.com/a/K4TUup2,2TDM,,,,,,,,,,,,,
,Smasher,Smiley,7055567,https://imgur.com/a/IEY9Uk3,Maze 2TDM,,,,,,,,,,,,,
,Fighter,Tommy,7049661,https://cdn.discordapp.com/attachments/801013894805323808/836523024157114468/screenshot_-_2021-04-27T103734.192.png,FFA,Legacy,,,,,,,,,,,,
,Hexa Tank,Marcus,7048534,https://cdn.discordapp.com/attachments/1136619020100059146/1144330560605524008/screenshot_-_2023-08-24T200100.332.png,Maze 2TDM,TBR,,,,,,,,,,,,
,Octo Tank,🥕Crazy Carrot🥕,7045215,https://media.discordapp.net/attachments/875751690765226044/893609531047829514/7.045m_Octo.png?width=1249&height=655,4TDM,,,,,,,,,,,,,
,Auto Spawner,Mr.Hacker YT,7036500,https://imgur.com/gallery/qaDDl7S,2TDM,Legacy,,,,,,,,,,,,
,Auto Overseer,UK,7035565,https://cdn.discordapp.com/attachments/1103393068125802537/1148391222562537552/78de19c4-f2ff-42e8-82dc-978ad0faa162.png,2TDM,,,,,,,,,,,,,
,Smasher,Ö.,7032477,https://imgur.com/a/OdANkqX,4TDM,,,,,,,,,,,,,
,Crossbow,Zeph,7030245,https://cdn.discordapp.com/attachments/928174021592383489/1141453730580013186/IMG_7092.jpeg,2TDM,TBR,,,,,,,,,,,,
,Auto Assassin,chewy pies,7025812,https://cdn.discordapp.com/attachments/395646588682240020/1120509436558069891/Screenshot_851.png,2TDM,,,,,,,,,,,,,
,Overlord,Jess,11243342,https://cdn.discordapp.com/attachments/928174021592383489/1149090926380191814/screenshot160.png,2TDM,,2,2,9,8,5,8,1,7,0,0,6th September 2023,USA
,Auto Overseer,Chris3773,7105063,https://imgur.com/gallery/sDl4fwW,2TDM,TBR,,,,,,,,,,,,
,Shotgun,ExC,8523960,https://media.discordapp.net/attachments/1146076487875821578/1149111728546779206/image.png,2TDM,TBR,,,,,,,,,,,,
,Octo Tank,Corrupt Y,8035714,https://imgur.com/a/BCTrVBl,2TDM,,,,,,,,,,,,,
,Overlord,Marcus,14076885,https://cdn.discordapp.com/attachments/1146204878331461642/1150402565029232702/screenshot_-_2023-09-10T140844.463.png,4TDM,TBR,2,2,9,7,6,8,1,7,0,0,7th September 2023,EUROPE
,Octo Tank,Chris3773,10732143,https://imgur.com/gallery/mhm5BgI,2TDM,,3,3,0,7,7,7,9,6,0,0,12th September 2023,USA
,Commander,Chris3773,11600008,https://imgur.com/gallery/juN6tqq,2TDM,TBR,,,,,,,,,,,,
,Banshee,cyan,10019396,https://cdn.discordapp.com/attachments/866023322529955870/1153712845284974592/screenshot_-_2023-09-19T215349.963.png,2TDM,TBR,,,,,,,,,,,,
,Manager,zo,15117515,https://cdn.discordapp.com/attachments/866023322529955870/1153544609939603466/screenshot_-_2023-09-18T221037.067.png,2TDM,TBR,3,3,7,7,7,8,0,7,0,0,21st April 2023,USA
,Carrier,Ussnub,7141605,https://cdn.discordapp.com/attachments/1125564247275999282/1157811234616389733/screenshot_65.png?ex=651bf17d&is=651a9ffd&hm=2a4e4f011a9860892a968670a3cadf52d7bd073445fe4f2a924fb403b26314f7&,2TDM,,,,,,,,,,,,,
