,Tank,Name,Score,Proof,Gamemode,Info,Build,,,,,,,,,,Date of Death,Server
,TOP 250 Scores,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Overlord,Skrialik,11147953,https://imgur.com/a/8trHyPr,Open TDM,,2,2,8,7,7,7,1,8,0,0,19th March 2022,USA
,Necromancer,Marcus,11078883,https://cdn.discordapp.com/attachments/1093666415946506250/1114944856276615198/screenshot_-_2023-06-04T175227.670.png,2TDM,,0,1,9,7,6,8,4,7,0,0,4th June 2023,EUROPE
,Machine Gun,Rog456,11046961,https://cdn.discordapp.com/attachments/928174021592383489/1137122826776756264/14616ADC-6178-4713-8858-3F6C2F8934F1.png,2TDM,,2,3,4,8,5,8,7,5,0,0,4th August 2023,USA
,Spreadshot,Slade,11042230,https://cdn.discordapp.com/attachments/928174021592383489/1147385394606915664/screenshot_-_2023-09-02T001036.540.png,2TDM,TBR,3,4,0,8,6,8,6,7,0,0,2nd September 2023,USA
,Overlord,Zeph,10864836,https://cdn.discordapp.com/attachments/803352420117774377/853718954018865173/D17EE8D3-E572-4A95-B4B9-37A33F5FE5F3.jpeg,4TDM,,/,/,/,/,/,/,/,/,/,/,/,EUROPE
,Overgunner,Slade,10814596,https://cdn.discordapp.com/attachments/866023322529955870/1042980358037180416/unknown.png,Squads,,2,2,7,7,7,7,5,5,0,0,18th November 2022,USA
,Flank Guard,Skrialik,10774524,https://cdn.discordapp.com/attachments/928174021592383489/1141520991323947038/screenshot_-_2023-08-16T154513.919.png,2TDM,,2,3,4,8,6,8,6,5,0,0,16th August 2023,USA
,Manager,zo,10693117,https://imgur.com/a/mwyiF17,2TDM,TBR,3,3,7,7,7,7,1,7,0,0,8th April 2022,USA
,Banshee,Marcus,10613360,https://cdn.discordapp.com/attachments/866023322529955870/1108805936379867196/screenshot_-_2023-05-18T191043.084.png,2TDM,,2,2,9,7,8,7,1,6,0,0,18th May 2023,EUROPE
,Mega Smasher,Mine,10555678,https://imgur.com/a/ovD4LLK,2TDM,,10,11,,,,,4,11,2,4,30th June 2022,USA
,Overdrive,Ö.,10542978,https://cdn.discordapp.com/attachments/395646588682240020/1083340118187843614/screenshot_-_2023-03-08T183620.241.png,2TDM,TBR,2,3,9,7,7,7,1,6,0,0,8th March 2023,EUROPE
,Overdrive,byekc,10540849,https://cdn.discordapp.com/attachments/866023322529955870/1099325381804298290/image.png,4TDM,,2,3,9,7,7,7,1,6,0,0,22th April 2023,EUROPE
,Streamliner,Slade,10530060,https://imgur.com/DIQXtmQ,Squads,,2,2,5,7,8,7,6,5,0,0,/,USA
,Overlord,OnyxD,10471679,https://imgur.com/a/iOWO8A8,2TDM,,2,2,9,7,7,7,1,7,0,0,15th April 2023,USA
,Auto Assassin,ια,10441465,https://cdn.discordapp.com/attachments/928174021592383489/1134341691927691334/Untitled_design_70.png,4TDM,,2,2,4,7,7,7,5,8,0,0,28th July 2023,USA
