,Players with most 5 Mils,,,,Players with highest total score,,,,Players with best average score,,,,Tanks with most 5 Mils,,,,Tanks with highest total score,,,,Tanks with highest average score,,,,Most Frequent Players in Top 250,,,,Most Frequent Tanks in Top 250,,,,Most Frequent Players in Top Tanks,,,,Most #1 Spots in Top Tanks,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#,Name,Count,,#,Name,Total,,#,Name,Average,,#,Tank,count Tank,,#,Tank,Total,,#,,Total,,#,Name,Count,,#,Tank,Count,,#,Name,Count,,#,Name,Count
,23,asd,9,,25,Mine,56666999,,25,Templar,6960533.75,,22,Sniper,10,,25,Banshee,62044980,,25,Auto Builder,7091976.833333333,,25,Awootube,3,,19,Hybrid,3,,23,🌷|retnuH,14,,24,<❂> ₭ǿrɇa,1
,23,🌷|retnuH,9,,26,🌷|retnuH,54248106,,26,Thing,6938667.777777778,,26,Auto Smasher,9,,26,Sniper,61776712,,26,Swarmer,7078556,,25,Thing,3,,19,Octo Tank,3,,26,Roman,13,,24,Allan,1
,27,Askatasuna,8,,27,asd,54235827,,27,Colon,6891428.428571428,,26,Banshee,9,,27,Overtrapper,57398479,,27,Necromancer,7073517.736842105,,25,ZeZo,3,,19,Penta Shot,3,,27,noscore,12,,24,Anak,1
,27,Lamp,8,,28,Harry,53698215,,28,Zeph,6850723.4,,26,Overtrapper,9,,28,Auto Smasher,57203715,,28,Ordnance,7038475,,25,ascending,3,,19,Ranger,3,,28,Lamp,11,,24,Askatasuna,1
,27,noscore,8,,29,Lamp,52870870,,29,Slade,6810694.394736842,,29,Bent Double,8,,29,Auto Tri-Angle,56722290,,29,Spawner,6983569.333333333,,25,asd,3,,19,Smasher,3,,28,🎋,11,,24,Crazoodles,1
,30,Ussnub,7,,30,🥕Crazy Carrot🥕,50770634,,30,ascending,6799326.666666667,,29,Carrier,8,,30,Overgunner,56537401,,30,Falcon,6950950.428571428,,25,bum,3,,19,Spike,3,,30,132,10,,24,Ditine,1
,30,bum,7,,31,Askatasuna,50553854,,31,OnyxD,6776781.785714285,,29,Destroyer,8,,31,Ranger,55308323,,31,Basic,6933330,,25,🌷|retnuH,3,,31,Annihilator,2,,30,<❂> ₭ǿrɇa,10,,24,Endless,1
,30,🥕Crazy Carrot🥕,7,,32,bum,47046802,,32,Para,6744631.066666666,,29,Mortar,8,,32,Penta Shot,54754822,,32,Ranger,6913540.375,,32,Allan,2,,31,Auto Cruiser,2,,30,Awootube,10,,24,Lamp,1
,33,Allan,6,,33,Ussnub,45086132,,33,Quad,6732303.2272727275,,29,Penta Shot,8,,33,Commander,54046738,,33,Octo Tank,6900185.3,,32,Corrupt X,2,,31,Basic,2,,30,Endless,10,,24,Nyrox,1
,33,Harry,6,,34,ascending,40795960,,34,bum,6720971.714285715,,29,Ranger,8,,34,Bent Double,50866901,,34,Banshee,6893886.666666667,,32,Drokert el LaTaTa,2,,31,Bent Double,2,,30,Stradpult,10,,24,Oganesson 118,1
