CellImage,,Top 250 Arras Scores of All Time       ,,,,,,,,,,,,,,,,,,
,Rank,Score,Name,Tank,,Gamemode,Info,Proof,working on it...,,,,,,,,,,Date,Server
,152,8163828,lamita,CellImage,Annihilator,2TDM,,https://media.discordapp.net/attachments/1064783692578426901/1103270636878569472/image.png?width=1202&height=676,,,,,,,,,,,,
,153,8159703,Colon,CellImage,Auto Overseer,4TDM,,https://cdn.discordapp.com/attachments/1115076826809769986/1116131581057306774/IMG_1595.png,,,,,,,,,,,,
,154,8152846,ExC,CellImage,Fighter,FFA,Legacy,https://imgur.com/a/dLvBQfH,,,,,,,,,,,,
,155,8151530,Jess,CellImage,Auto Double,Squads,,https://imgur.com/a/1scHNcj,,,,,,,,,,,,
,156,8140358,Para,CellImage,Stalker,2TDM,,https://imgur.com/gallery/AG5tGNV,,,,,,,,,,,,
,157,8120500,Slade,CellImage,Bushwhacker,2TDM,TBR,https://cdn.discordapp.com/attachments/950121196870062131/1147753275463053402/screenshot_-_2023-09-02T204656.277.png,,,,,,,,,,,,
,158,8112668,byekc,CellImage,Auto Spawner,4TDM,,https://cdn.discordapp.com/attachments/1051941840863113327/1068961161950793931/Ekran_Goruntusu_4668.png,,,,,,,,,,,,
,159,8108770,Ö.,CellImage,Musket,2TDM,TBR,https://imgur.com/a/KQMk8mU,,,,,,,,,,,,
,160,8106587,Skrialik,CellImage,Manager,4TDM,,https://imgur.com/a/AjSdAYS,,,,,,,,,,,,
,161,8102741,Corrupt X,CellImage,Surfer,Portal TDM,Legacy,https://imgur.com/a/gMw8tR8,,,,,,,,,,,,
,162,8069915,pedal,CellImage,Bushwhacker,2TDM,,https://imgur.com/a/0gc4KaW,,,,,,,,,,,,
,163,8063415,OnyxD,CellImage,Manager,2TDM,,https://imgur.com/a/BxSYBCw,,,,,,,,,,,,
,164,8044462,Askatasuna,CellImage,Overlord,2TDM,,https://imgur.com/a/zw98bGp,,,,,,,,,,,,
,165,8035714,Corrupt Y,CellImage,Octo Tank,2TDM,,https://imgur.com/a/BCTrVBl,,,,,,,,,,,,
,166,8027941,zo,CellImage,Overlord,2TDM,,https://imgur.com/a/q1rJLCg,,,,,,,,,,,,
,167,8010399,OnyxD,CellImage,Streamliner,4TDM,,https://imgur.com/a/ACbP2HO,,,,,,,,,,,,
,168,8010030,Slade,CellImage,Gunner Trapper,4TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1141016525936009298/screenshot_-_2023-08-14T225010.png,,,,,,,,,,,,
,169,8007042,Quad,CellImage,Machine Gun,Duos,,https://imgur.com/gmbUiUr,,,,,,,,,,,,
,170,8006279,Marcus,CellImage,Necromancer,2TDM,TBR,https://media.discordapp.net/attachments/1095472648886165704/1142860464716521574/screenshot_-_2023-08-20T183918.172.png,,,,,,,,,,,,
,171,8002776,Awootube,CellImage,Auto Overseer,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1109683291633766410/screenshot_-_2023-05-20T213628.506.png,,,,,,,,,,,,
,172,7995818,Drokert el LaTaTa,CellImage,Penta Shot,2TDM,,https://cdn.discordapp.com/attachments/1009229141859643462/1147995505771679794/7.99m_Penta_Shot_2-tdm_6hr_6m_35s.PNG,,,,,,,,,,,,
,173,7909167,Mr.Hacker YT,CellImage,Overseer,2TDM,,https://cdn.discordapp.com/attachments/981241581044637696/1116094539392897054/screenshot_-_2023-03-04T214208.320.png,,,,,,,,,,,,
,174,7894354,Nyrox,CellImage,Auto Overseer,4TDM,,https://imgur.com/a/cipwQuI,,,,,,,,,,,,
,175,7865891,Jess,CellImage,Manager,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1120858523455205416/screenshot_-_2023-06-20T170807.983.png,,,,,,,,,,,,
,176,7861288,Marcus,CellImage,Annihilator,Maze 2TDM,,https://cdn.discordapp.com/attachments/1104777239725346876/1113552873536622713/screenshot_-_2023-05-31T194719.246.png,,,,,,,,,,,,
,177,7806019,OnyxD,CellImage,Auto Overseer,2TDM,,https://imgur.com/a/UI8Hls5,,,,,,,,,,,,
,178,7788766,Salla,CellImage,Auto Assassin,4TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1096926557408342136/screenshot_39.png,,,,,,,,,,,,
,179,7760751,Mr.Hacker YT,CellImage,Hexa Tank,Maze,,https://media.discordapp.net/attachments/1136619020100059146/1143468207735312444/screenshot_-_2023-08-22T015041.215.png?width=810&height=456,,,,,,,,,,,,
,180,7741098,Mr.Hacker YT,CellImage,Auto Assassin,4TDM,,https://cdn.discordapp.com/attachments/981241581044637696/1116094851646230671/screenshot_-_2023-01-06T174702.473.png,,,,,,,,,,,,
,181,7726758,Chris3773,CellImage,Auto Assassin,Maze 2TDM,,https://cdn.discordapp.com/attachments/559793341143711767/1116505608443666502/screenshot_-_2023-06-08T183631.png,,,,,,,,,,,,
,182,7704078,ExC,CellImage,Hybrid,Maze 4TDM,,https://imgur.com/a/0ojm0vn,,,,,,,,,,,,
,183,7684917,noscore,CellImage,Landmine,4TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1064812862138220574/screenshot_31.png,,,,,,,,,,,,
,184,7670200,Harry,CellImage,Overlord,Portal TDM,,https://i.imgur.com/Zu0imcQh.jpg,,,,,,,,,,,,
,185,7651107,Templar,CellImage,Hunter,2TDM,,https://cdn.discordapp.com/attachments/1063098062819577927/1143892293988917351/image.png,,,,,,,,,,,,
,186,7625281,Jess,CellImage,Gunner Trapper,Squads,,https://imgur.com/a/SzBDnyh,,,,,,,,,,,,
,187,7586478,ια,CellImage,Auto Spawner,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1133836903058247750/screenshot_-_2023-07-25T214346.747.png,,,,,,,,,,,,
,188,7583001,Smiley,CellImage,Overseer,2TDM,,https://imgur.com/a/y3G1z7g,,,,,,,,,,,,
,189,7526608,Smiley,CellImage,Spike,4TDM,,https://imgur.com/a/VnYtt5S,,,,,,,,,,,,
,190,7523323,🌷|retnuH,CellImage,Gunner Trapper,2TDM,,https://imgur.com/gallery/UUrVgm8,,,,,,,,,,,,
,191,7497088,zo,CellImage,Predator,2TDM,,https://imgur.com/a/VdqzY9c,,,,,,,,,,,,
,192,7494683,Jess,CellImage,Smasher,4TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1127024494037438594/screenshot49.png,,,,,,,,,,,,
,193,7489909,byekc,CellImage,Rocketeer,Maze 2TDM,,https://cdn.discordapp.com/attachments/920837868543438878/951964758423273482/unknown_2021.png,,,,,,,,,,,,
,194,7484728,Allan,CellImage,Crossbow,2TDM,,https://imgur.com/a/VmbiiPb,,,,,,,,,,,,
,195,7475910,Jess,CellImage,Overlord,2TDM,,https://cdn.discordapp.com/attachments/856614995802325032/1086420393402847312/screenshot_-_2023-03-17T183840.081.png,,,,,,,,,,,,
,196,7462122,ascending,CellImage,Auto Assassin,2TDM,,https://imgur.com/a/tTrCUcB,,,,,,,,,,,,
,197,7461189,Roman,CellImage,Triplet,4TDM,,https://imgur.com/a/Fd94BBt,,,,,,,,,,,,
,198,7447385,asd,CellImage,Landmine,4TDM,,https://imgur.com/gallery/F5FT8Dm,,,,,,,,,,,,
,199,7443093,Chris3773,CellImage,Single,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1130607330841595935/screenshot_-_2023-07-17T170803.348.png,,,,,,,,,,,,
,200,7407179,Stradpult,CellImage,Fighter,FFA,Legacy,https://media.discordapp.net/attachments/454578417745133580/579267259894333440/unknown.png,,,,,,,,,,,,
,201,7403118,Stradpult,CellImage,Surfer,FFA,Legacy,https://imgur.com/gallery/NPw1Hfj,,,,,,,,,,,,
,202,7399397,Ö.,CellImage,Gunner Trapper,2TDM,,https://imgur.com/a/a3PP6ce,,,,,,,,,,,,
,203,7399044,asd,CellImage,Spike,4TDM,,https://imgur.com/gallery/Fb8K4hx,,,,,,,,,,,,
,204,7386278,ExC,CellImage,Bomber,FFA,Legacy,https://imgur.com/a/Ckq7LeM,,,,,,,,,,,,
,205,7386144,rela 🐣,CellImage,Overdrive,Open TDM,,https://imgur.com/gallery/NBxOvsQ,,,,,,,,,,,,
,206,7355978,Para,CellImage,Streamliner,2TDM,,https://imgur.com/gallery/8MLlYep,,,,,,,,,,,,
,207,7355346,Damocles,CellImage,Mortar,2TDM,Legacy,https://imgur.com/a/p2g4PTm,,,,,,,,,,,,
,208,7350509,z,CellImage,Overlord,4TDM,,https://imgur.com/a/GR8fJpE,,,,,,,,,,,,
,209,7347899,ια,CellImage,Auto Spawner,4TDM,,https://www.youtube.com/watch?v=qDHZWdz_a6M,,,,,,,,,,,,
,210,7336187,Colon,CellImage,Overgunner,2TDM,,https://imgur.com/a/i7bjjnX,,,,,,,,,,,,
,211,7328693,Anto,CellImage,Smasher,2TDM,,https://imgur.com/a/Q2AJHfb,,,,,,,,,,,,
,212,7323227,ascending,CellImage,Banshee,Portal TDM,,https://imgur.com/a/Kyd3JMy,,,,,,,,,,,,
,213,7309124,Quad,CellImage,Sniper,4TDM,,https://imgur.com/a/L1246Ro,,,,,,,,,,,,
,214,7303346,Nyrox,CellImage,Auto Overseer,2TDM,,https://imgur.com/a/8roOPif,,,,,,,,,,,,
,215,7296766,Chris3773,CellImage,Necromancer,2TDM,,https://cdn.discordapp.com/attachments/1138529019541868686/1144476145539108864/screenshot_-_2023-08-24T230412.315.png,,,,,,,,,,,,
,216,7296093,ια,CellImage,Bent Double,4TDM,,https://imgur.com/gallery/68vV8gq,,,,,,,,,,,,
,217,7277072,ια,CellImage,Landmine,4TDM,,https://imgur.com/gallery/73fxyH8,,,,,,,,,,,,
,218,7275547,Stradpult,CellImage,Fighter,FFA,Legacy,https://imgur.com/gallery/I3ip2El,,,,,,,,,,,,
,219,7272710,Templar,CellImage,Auto Overseer,Maze 2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1139202565146411038/image.png,,,,,,,,,,,,
,220,7271725,Ö.,CellImage,Gunner Trapper,4TDM,,https://imgur.com/a/PsBbWxk,,,,,,,,,,,,
,221,7269160,X...,CellImage,Auto Builder,2TDM,,https://imgur.com/a/LonZ3nv,,,,,,,,,,,,
,222,7264097,Mr.Hacker YT,CellImage,Manager,Maze 4TDM,TBR,https://media.discordapp.net/attachments/1064026177108443180/1143615199006441582/screenshot_-_2023-08-19T221115.565.png?width=1193&height=671,,,,,,,,,,,,
,223,7259127,Jess,CellImage,Manager,2TDM,,https://cdn.discordapp.com/attachments/856614995802325032/1031276060815396985/screenshot_99.png,,,,,,,,,,,,
,224,7258999,Quad,CellImage,Bulwark,Squads,,https://imgur.com/a/V5ReyDx,,,,,,,,,,,,
,225,7252148,Skrialik,CellImage,Overlord,2TDM,,https://imgur.com/a/zgEeIdk,,,,,,,,,,,,
,226,7246079,Skrialik,CellImage,Fighter,4TDM,Legacy,https://imgur.com/a/8mnE7oY,,,,,,,,,,,,
,227,7222569,Marcus,CellImage,Necromancer,2TDM,,https://imgur.com/a/7YPiqau,,,,,,,,,,,,
,228,7219950,Allan,CellImage,Auto Tri-Angle,2TDM,,https://imgur.com/a/iwBnXB6,,,,,,,,,,,,
,229,7215745,Skrialik,CellImage,Overlord,Maze 2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1141524709318606898/screenshot_-_2023-08-09T211331.png,,,,,,,,,,,,
,230,7203440,Quad,CellImage,Bent Hybrid,Duos,,https://imgur.com/a/izc5CcM,,,,,,,,,,,,
,231,7191839,ZeZo,CellImage,Flank Guard,Portal TDM,,https://imgur.com/a/1ezge3c,,,,,,,,,,,,
,232,7152618,Mr.Hacker YT,CellImage,Overdrive,2TDM,,https://imgur.com/gallery/MTZxZtT,,,,,,,,,,,,
,233,7151032,Slade,CellImage,Octo Tank,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1141523475358568449/screenshot_-_2023-08-16T174400.578.png,,,,,,,,,,,,
,234,7142853,🌷|retnuH,CellImage,Auto Assassin,2TDM,,https://imgur.com/gallery/IouGVsb,,,,,,,,,,,,
,235,7141605,Ussnub,CellImage,Carrier,2TDM,,https://cdn.discordapp.com/attachments/1125564247275999282/1157811234616389733/screenshot_65.png?ex=651bf17d&is=651a9ffd&hm=2a4e4f011a9860892a968670a3cadf52d7bd073445fe4f2a924fb403b26314f7&,,,,,,,,,,,,
,236,7130528,safuez,CellImage,Factory,Maze 4TDM,TBR,https://cdn.discordapp.com/attachments/941221820810543155/941338879687000064/8tzTqyr_d.png,,,,,,,,,,,,
,237,7130429,asd,CellImage,Auto Smasher,2TDM,,https://imgur.com/gallery/Ip86Nys,,,,,,,,,,,,
,238,7124716,Stormy,CellImage,Sniper,2TDM,,https://cdn.discordapp.com/attachments/395646588682240020/1097999543821414400/scrnli_4_18_2023_4-36-09_PM.png,,,,,,,,,,,,
,239,7118526,ExC,CellImage,Auto Smasher,4TDM,,https://imgur.com/a/RxNQy8h,,,,,,,,,,,,
,240,7109184,Rog456,CellImage,X-Hunter,4TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1144851786033795142/4255A84D-E373-4283-83D2-6191C63A60BA.png,,,,,,,,,,,,
,241,7105063,Chris3773,CellImage,Auto Overseer,2TDM,TBR,https://imgur.com/gallery/sDl4fwW,,,,,,,,,,,,
,242,7095055,Roman,CellImage,Necromancer,4TDM,,https://imgur.com/a/VtN2eUH,,,,,,,,,,,,
,243,7092907,Rog456,CellImage,Basic,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1135765816206426143/904D39D7-AC2D-430B-8967-30999F81E9A5.png,,,,,,,,,,,,
,244,7091375,Chris3773,CellImage,Overgunner,2TDM,TBR,https://cdn.discordapp.com/attachments/1139282331602002081/1139328885402632283/screenshot_-_2023-08-10T184545.240.png,,,,,,,,,,,,
,245,7090036,Corrupt Y,CellImage,Spreadshot,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1094021490791420015/image.png,,,,,,,,,,,,
,246,7084337,ZeZo,CellImage,Auto Overseer,4TDM,,https://imgur.com/a/B3CMf5c,,,,,,,,,,,,
,247,7060288,bum,CellImage,Spike,2TDM,,https://imgur.com/a/SUzNNYd,,,,,,,,,,,,
,248,7059952,Mine,CellImage,Mortar,2TDM,,https://imgur.com/a/K4TUup2,,,,,,,,,,,,
,249,7055567,Smiley,CellImage,Smasher,Maze 2TDM,,https://imgur.com/a/IEY9Uk3,,,,,,,,,,,,
,250,7049661,Tommy,CellImage,Fighter,FFA,Legacy,https://cdn.discordapp.com/attachments/801013894805323808/836523024157114468/screenshot_-_2021-04-27T103734.192.png,,,,,,,,,,,,
