CellImage,,Top 250 Arras Scores of All Time       ,,,,,,,,,,,,,,,,,,
,Rank,Score,Name,Tank,,Gamemode,Info,Proof,working on it...,,,,,,,,,,Date,Server
,32,11912075,Jess,CellImage,Streamliner,2TDM,,https://imgur.com/a/Dvb3Txy,2,2,4,7,8,7,6,6,0,0,13th April 2022,USA
,33,11720549,Slade,CellImage,Streamliner,Maze 4TDM,,https://cdn.discordapp.com/attachments/1093983574065156216/1106673054903451658/screenshot_-_2021-05-14T152049.png,1,2,5,7,8,7,6,6,0,0,14th May 2021,USA
,34,11633647,rela 🐣,CellImage,Overseer,4TDM,,https://imgur.com/gallery/1ahw5PA,2,2,6,7,8,7,3,7,0,0,19th February 2021,ASIA
,35,11600008,Chris3773,CellImage,Commander,2TDM,TBR,https://imgur.com/gallery/juN6tqq,,,,,,,,,,,,
,36,11508414,🌷|retnuH,CellImage,Commander,4TDM,TBR,https://imgur.com/a/JEjlMeV,2,2,9,7,7,7,1,7,0,0,10th September 2023,EUROPE
,37,11243342,Jess,CellImage,Overlord,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1149090926380191814/screenshot160.png,2,2,9,8,5,8,1,7,0,0,6th September 2023,USA
,38,11201217,rela 🐣,CellImage,Overlord,2TDM,,https://imgur.com/gallery/8BGbaGo,2,3,8,7,7,7,1,7,0,0,2nd May 2023,ASIA
,39,11147953,Skrialik,CellImage,Overlord,Open TDM,,https://imgur.com/a/8trHyPr,2,2,8,7,7,7,1,8,0,0,19th March 2022,USA
,40,11078883,Marcus,CellImage,Necromancer,2TDM,,https://cdn.discordapp.com/attachments/1093666415946506250/1114944856276615198/screenshot_-_2023-06-04T175227.670.png,0,1,9,7,6,8,4,7,0,0,4th June 2023,EUROPE
,41,11046961,Rog456,CellImage,Machine Gun,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1137122826776756264/14616ADC-6178-4713-8858-3F6C2F8934F1.png,2,3,4,8,5,8,7,5,0,0,4th August 2023,USA
,42,11042230,Slade,CellImage,Spreadshot,2TDM,TBR,https://cdn.discordapp.com/attachments/928174021592383489/1147385394606915664/screenshot_-_2023-09-02T001036.540.png,3,4,0,8,6,8,6,7,0,0,2nd September 2023,USA
,43,10864836,Zeph,CellImage,Overlord,4TDM,,https://cdn.discordapp.com/attachments/803352420117774377/853718954018865173/D17EE8D3-E572-4A95-B4B9-37A33F5FE5F3.jpeg,,,,,,,,,,,/,EUROPE
,44,10814596,Slade,CellImage,Overgunner,Squads,,https://cdn.discordapp.com/attachments/866023322529955870/1042980358037180416/unknown.png,2,2,7,7,7,7,5,5,0,0,18th November 2022,USA
,45,10774524,Skrialik,CellImage,Flank Guard,2TDM,,https://cdn.discordapp.com/attachments/928174021592383489/1141520991323947038/screenshot_-_2023-08-16T154513.919.png,2,3,4,8,6,8,6,5,0,0,16th August 2023,USA
,46,10732143,Chris3773,CellImage,Octo Tank,2TDM,,https://imgur.com/gallery/mhm5BgI,3,3,0,7,7,7,9,6,0,0,12th September 2023,USA
,47,10693117,zo,CellImage,Manager,2TDM,TBR,https://imgur.com/a/mwyiF17,3,3,7,7,7,7,1,7,0,0,8th April 2022,USA
,48,10613360,Marcus,CellImage,Banshee,2TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1108805936379867196/screenshot_-_2023-05-18T191043.084.png,2,2,9,7,8,7,1,6,0,0,18th May 2023,EUROPE
,49,10555678,Mine,CellImage,Mega Smasher,2TDM,,https://imgur.com/a/ovD4LLK,10,11,,,,,4,11,2,4,30th June 2022,USA
,50,10542978,Ö.,CellImage,Overdrive,2TDM,TBR,https://cdn.discordapp.com/attachments/395646588682240020/1083340118187843614/screenshot_-_2023-03-08T183620.241.png,2,3,9,7,7,7,1,6,0,0,8th March 2023,EUROPE
,51,10540849,byekc,CellImage,Overdrive,4TDM,,https://cdn.discordapp.com/attachments/866023322529955870/1099325381804298290/image.png,2,3,9,7,7,7,1,6,0,0,22th April 2023,EUROPE
,52,10530060,Slade,CellImage,Streamliner,Squads,,https://imgur.com/DIQXtmQ,2,2,5,7,8,7,6,5,0,0,/,USA
